Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
Timestamp,Seq No.,ECG data
1746694876816.562,41,41476
1746694876817.563,41,41458
1746694876818.562,42,41443
1746694876819.563,42,41426
1746694876820.5618,42,41411
1746694876821.563,42,41389
1746694876822.562,42,41367
1746694876823.563,42,41344
1746694876824.562,42,41328
1746694876825.469,42,41315
1746694876826.469,42,41299
1746694876827.469,42,41283
1746694876828.469,42,41260
1746694876829.469,43,41242
1746694876830.469,43,41226
1746694876831.469,43,41203
1746694876832.469,43,41180
1746694876833.469,43,41157
1746694876834.469,43,41139
1746694876835.469,43,41122
1746694876836.469,43,41106
1746694876837.469,43,41087
1746694876838.469,43,41077
1746694876839.469,43,41061
1746694876840.469,44,41041
1746694876841.375,44,41026
1746694876842.375,44,41010
1746694876843.375,44,40993
1746694876844.375,44,40975
1746694876845.375,44,40951
1746694876846.375,44,40932
1746694876847.375,44,40914
1746694876848.375,44,40895
1746694876849.375,44,40887
1746694876850.375,44,40877
1746694876851.375,45,40873
1746694876852.375,45,40859
1746694876853.375,45,40851
1746694876854.375,45,40841
1746694876855.375,45,40834
1746694876856.375,45,40833
1746694876857.281,45,40822
1746694876858.281,45,40813
1746694876859.281,45,40798
1746694876860.281,45,40787
1746694876861.281,45,40766
1746694876862.281,46,40749
1746694876863.281,46,40726
1746694876864.281,46,40703
1746694876865.281,46,40681
1746694876866.281,46,40655
1746694876867.281,46,40633
1746694876868.281,46,40619
1746694876869.281,46,40599
1746694876870.281,46,40577
1746694876871.281,46,40553
1746694876872.281,46,40535
1746694876873.156,47,40516
1746694876874.156,47,40501
1746694876875.156,47,40492
1746694876876.156,47,40480
1746694876877.156,47,40468
1746694876878.156,47,40457
1746694876879.156,47,40441
1746694876880.156,47,40435
1746694876881.156,47,40434
1746694876882.156,47,40425
1746694876883.156,47,40421
1746694876884.156,48,40410
1746694876885.156,48,40394
1746694876886.156,48,40376
1746694876887.156,48,40362
1746694876888.156,48,40344
1746694876889.062,48,40329
1746694876890.063,48,40315
1746694876891.062,48,40303
1746694876892.063,48,40286
1746694876893.062,48,40271
1746694876894.063,48,40257
1746694876895.062,49,40243
1746694876896.063,49,40227
1746694876897.063,49,40208
1746694876898.062,49,40187
1746694876899.063,49,40170
1746694876900.062,49,40147
1746694876901.063,49,40129
1746694876902.062,49,40119
1746694876903.063,49,40097
1746694876904.062,49,40085
1746694876904.938,49,40070
1746694876905.937,50,40058
1746694876906.938,50,40048
1746694876907.938,50,40034
1746694876908.937,50,40020
1746694876909.938,50,40011
1746694876910.937,50,40003
1746694876911.938,50,39985
1746694876912.937,50,39969
1746694876913.938,50,39953
1746694876914.937,50,39941
1746694876915.938,50,39927
1746694876916.937,51,39913
1746694876917.938,51,39898
1746694876918.937,51,39890
1746694876919.938,51,39883
1746694876920.844,51,39874
1746694876921.844,51,39870
1746694876922.844,51,39861
1746694876923.844,51,39859
1746694876924.844,51,39861
1746694876925.844,51,39861
1746694876926.844,51,39861
1746694876927.844,52,39849
1746694876928.844,52,39839
1746694876929.844,52,39825
1746694876930.844,52,39810
1746694876931.844,52,39795
1746694876932.844,52,39779
1746694876933.844,52,39767
1746694876934.844,52,39758
1746694876935.844,52,39754
1746694876936.75,52,39751
1746694876937.75,52,39746
1746694876938.75,53,39731
1746694876939.75,53,39719
1746694876940.75,53,39707
1746694876941.75,53,39693
1746694876942.75,53,39676
1746694876943.75,53,39663
1746694876944.75,53,39645
1746694876945.75,53,39627
1746694876946.75,53,39619
1746694876947.75,53,39607
1746694876948.75,53,39597
1746694876949.75,54,39595
1746694876950.75,54,39590
1746694876951.75,54,39585
1746694876952.625,54,39576
1746694876953.625,54,39574
1746694876954.625,54,39574
1746694876955.625,54,39580
1746694876956.625,54,39586
1746694876957.625,54,39591
1746694876958.625,54,39585
1746694876959.625,54,39575
1746694876960.625,55,39557
1746694876961.625,55,39540
1746694876962.625,55,39524
1746694876963.625,55,39505
1746694876964.625,55,39485
1746694876965.625,55,39469
1746694876966.625,55,39463
1746694876967.625,55,39457
1746694876968.656,55,39449
1746694876969.656,55,39437
1746694876970.656,55,39425
1746694876971.656,56,39414
1746694876972.656,56,39395
1746694876973.656,56,39380
1746694876974.656,56,39360
1746694876975.656,56,39339
1746694876976.656,56,39326
1746694876977.656,56,39313
1746694876978.656,56,39298
1746694876979.656,56,39279
1746694876980.656,56,39265
1746694876981.656,56,39252
1746694876982.656,57,39239
1746694876983.656,57,39223
1746694876984.438,57,39211
1746694876985.437,57,39200
1746694876986.438,57,39185
1746694876987.437,57,39171
1746694876988.437,57,39161
1746694876989.438,57,39147
