Biopac.acq
Graph Created on: 2025-06-12 11:39:41.009
Recording on: 2025-06-12 12:42:40.750
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
min	CH1	CH9	
	546616 samples	546616 samples	
0.0104833	-0.811462	0.0567627	
0.0105	-0.813904	0.0564575	
0.0105167	-0.817261	0.0602722	
0.0105333	-0.819092	0.0616455	
0.01055	-0.821533	0.0614929	
0.0105667	-0.822449	0.0637817	
0.0105833	-0.826416	0.0616455	
0.0106	-0.829468	0.0578308	
0.0106167	-0.831299	0.0610352	
0.0106333	-0.834045	0.0619507	
0.01065	-0.835571	0.0639343	
0.0106667	-0.837097	0.0683594	
0.0106833	-0.840149	0.0727844	
0.0107	-0.84198	0.0756836	
0.0107167	-0.844421	0.0801086	
0.0107333	-0.848694	0.0810242	
0.01075	-0.848999	0.0784302	
0.0107667	-0.85144	0.0744629	
0.0107833	-0.856018	0.0701904	
0.0108	-0.857544	0.070343	
0.0108167	-0.858459	0.0714111	
0.0108333	-0.860596	0.0735474	
0.01085	-0.863037	0.0700378	
0.0108667	-0.865784	0.0723267	
0.0108833	-0.86853	0.0733948	
0.0109	-0.871277	0.0732422	
0.0109167	-0.873718	0.0727844	
0.0109333	-0.87677	0.0737	
0.01095	-0.880432	0.0741577	
0.0109667	-0.882874	0.0798035	
0.0109833	-0.886841	0.0811768	
0.011	-0.890198	0.0770569	
0.0110167	-0.892944	0.0720215	
0.0110333	-0.894775	0.0717163	
0.01105	-0.897217	0.0740051	
0.0110667	-0.900879	0.0733948	
0.0110833	-0.904846	0.0753784	
0.0111	-0.907288	0.0765991	
0.0111167	-0.910645	0.0782776	
0.0111333	-0.913391	0.0750732	
0.01115	-0.917664	0.0772095	
0.0111667	-0.919189	0.0804138	
0.0111833	-0.922546	0.085144	
0.0112	-0.924988	0.0860596	
0.0112167	-0.92804	0.0881958	
0.0112333	-0.928955	0.0906372	
0.01125	-0.932312	0.0942993	
0.0112667	-0.935059	0.0996399	
0.0112833	-0.9375	0.100708	
0.0113	-0.940247	0.0979614	
0.0113167	-0.941772	0.0958252	
0.0113333	-0.944824	0.0975037	
0.01135	-0.947876	0.0956726	
0.0113667	-0.950012	0.0949097	
0.0113833	-0.952148	0.0941467	
0.0114	-0.954895	0.0914001	
0.0114167	-0.957642	0.0895691	
0.0114333	-0.960693	0.0892639	
0.01145	-0.96405	0.088501	
0.0114667	-0.966492	0.0888062	
0.0114833	-0.968323	0.0924683	
0.0115	-0.971069	0.0950623	
0.0115167	-0.973511	0.0978088	
0.0115333	-0.975037	0.0994873	
0.01155	-0.978699	0.098877	
0.0115667	-0.980835	0.0944519	
0.0115833	-0.983887	0.0935364	
0.0116	-0.985107	0.0953674	
0.0116167	-0.986938	0.101624	
0.0116333	-0.98877	0.102844	
0.01165	-0.990906	0.103455	
0.0116667	-0.992737	0.105591	
0.0116833	-0.994568	0.107727	
0.0117	-0.995789	0.110474	
0.0117167	-0.99884	0.110779	
0.0117333	-0.999146	0.114746	
0.01175	-1.0022	0.119324	
0.0117667	-1.00342	0.124512	
0.0117833	-1.00403	0.125885	
0.0118	-1.00647	0.121155	
0.0118167	-1.00922	0.115662	
0.0118333	-1.01105	0.116882	
0.01185	-1.01105	0.114288	
0.0118667	-1.01349	0.11261	
0.0118833	-1.01624	0.117493	
0.0119	-1.01624	0.120087	
0.0119167	-1.01746	0.124359	
0.0119333	-1.01837	0.129089	
0.01195	-1.01898	0.128174	
