recording_3_ecgppg_biopac_movement.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 12:03:22.265
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	218923 samples	218923 samples	
819	-0.461426	-0.0476074	
820	-0.455627	-0.045929	
821	-0.446777	-0.0445557	
822	-0.441589	-0.0428772	
823	-0.432434	-0.0386047	
824	-0.42572	-0.0350952	
825	-0.417175	-0.0350952	
826	-0.411377	-0.0366211	
827	-0.405579	-0.0335693	
828	-0.397949	-0.0309753	
829	-0.391846	-0.0311279	
830	-0.385742	-0.0297546	
831	-0.378723	-0.0292969	
832	-0.372925	-0.0297546	
833	-0.366516	-0.0326538	
834	-0.359192	-0.0332642	
835	-0.354004	-0.0320435	
836	-0.348511	-0.0326538	
837	-0.343628	-0.0331116	
838	-0.336914	-0.0323486	
839	-0.329895	-0.0320435	
840	-0.327148	-0.0338745	
841	-0.32196	-0.0337219	
842	-0.317688	-0.0294495	
843	-0.313721	-0.0222778	
844	-0.308228	-0.0177002	
845	-0.303345	-0.0195313	
846	-0.297546	-0.0238037	
847	-0.294495	-0.0236511	
848	-0.293579	-0.0192261	
849	-0.289917	-0.0161743	
850	-0.284729	-0.0205994	
851	-0.279846	-0.0318909	
852	-0.27771	-0.0369263	
853	-0.271606	-0.0361633	
854	-0.270386	-0.0325012	
855	-0.26886	-0.0309753	
856	-0.265503	-0.0296021	
857	-0.26062	-0.0291443	
858	-0.260315	-0.0289917	
859	-0.256042	-0.0291443	
860	-0.255432	-0.0276184	
861	-0.250854	-0.0218201	
862	-0.250244	-0.0202942	
863	-0.250244	-0.0247192	
