recording_1_ecgppg_biopac_clean_data.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 11:43:51.760
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	337805 samples	337805 samples	
906	1.26129	-0.142365	
907	1.25641	-0.118561	
908	1.25183	-0.0895691	
909	1.24878	-0.0653076	
910	1.24298	-0.0460815	
911	1.2381	-0.027771	
912	1.23413	-0.014801	
913	1.23199	-0.00473022	
914	1.22498	0.00610352	
915	1.21979	0.0164795	
916	1.21429	0.0222778	
917	1.21216	0.0242615	
918	1.20544	0.0216675	
919	1.20239	0.0187683	
920	1.1972	0.018158	
921	1.19019	0.0215149	
922	1.18805	0.0228882	
923	1.18469	0.0224304	
924	1.18073	0.0222778	
925	1.17371	0.0238037	
926	1.16852	0.0245667	
927	1.16425	0.0218201	
928	1.16089	0.0195313	
929	1.15387	0.0189209	
930	1.14899	0.0215149	
931	1.14349	0.0221252	
932	1.13892	0.0219727	
933	1.13525	0.0227356	
934	1.13007	0.0265503	
935	1.12427	0.0306702	
936	1.11969	0.0308228	
937	1.11481	0.0294495	
938	1.10718	0.0273132	
939	1.10229	0.0262451	
940	1.09741	0.0260925	
941	1.09222	0.0292969	
942	1.08582	0.0285339	
943	1.08185	0.0270081	
944	1.07635	0.0267029	
945	1.07025	0.0296021	
946	1.06354	0.0315857	
947	1.05774	0.032196	
948	1.05316	0.032959	
949	1.04858	0.0308228	
950	1.04279	0.0300598	
951	1.03638	0.0314331	
952	1.03119	0.0318909	
953	1.02631	0.0318909	
954	1.01898	0.0335693	
955	1.01654	0.0323486	
